,product,icon,hangye1,yewu,province,lunci,jieduan,money,time,detail,investor_info,heat_num
0,博骥源医药,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b756a3924a4174701642.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625229918&Signature=qsL24UnpeAxmW%2FCODnVroLabYMs%3D,医疗健康,创新药物研发商,重庆市,,Pre-A轮,未披露,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=484af1162f365a9bb617eee51fef3d45&id=a6e19b1b5bc8596725d36fbe905d9976,"[{'investor': '摩天石投资', 'detail': '', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '切尔投资', 'detail': '', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '钰岫投资', 'detail': '', 'invest_type_name': '跟投', 'invest_type': '2'}]",17
1,耐德佳,https://img1.qimingpian.cn/uploadImg/202106/60b74c0d9e3f2.png,VR/AR,AR智能眼镜光学模组供应商,北京市,,B轮,未披露,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=596ebdec54785214b88a7dc3baeab665&id=2cb3710a87b247f1a0bf8037d499ce10,"[{'investor': '中关村协同创新基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=5c7976b71f0e50e6b267c77e31551c37&id=1d87aba47f2ba0b0f167f1f82d078c12', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '真成投资', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=1e40a6e42b265797a6360aa74c896b41&id=844b553beb6630e9c50c3fdd3fe3b03d', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '文华海汇', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=1c959e1e4e5953efb283cbcc846ef460&id=4cd50b513aa41e3ca97d525123d96d54', 'invest_type_name': '跟投', 'invest_type': '2'}, {'investor': '联想创投', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=2b961dd272155d7dabd5786c3d766a7e&id=88f799a13edcbd7b7af603af67a23ec7', 'invest_type_name': '', 'invest_type': '0'}]",60
2,行云创新,https://img1.qimingpian.cn/uploadImg/202106/60b7499e53f66.png,企业服务,一站式开发云服务提供商,广东省,,战略融资,未披露,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=002ad2c995cb5715b07a581d487214c6&id=426fa8661e8eb814b5de9945f87c97a3,"[{'investor': '阿里巴巴', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=f817535cddf55b14b011c8a45cbea71a&id=0a6b6173802ffd2358e56f5025b73bee', 'invest_type_name': '独投', 'invest_type': '4'}]",66
3,瓴芯电子,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202001/product5e10a4c6de4b7069508372.jpg?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625229918&Signature=D84BBH7tPKSOaS12FVnoO0VTGuY%3D,硬件,集成电路芯片研发运营商,江苏省,,战略融资,1400万人民币,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=b6dce0b40cc2541bae368b8caa47d9c8&id=541f83f5dcb2a8321a980a9f08cfd968,"[{'investor': '东方电子', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=ee44baa5c4285ce4afe1dd286041383d&id=cf0f7ab3318605783dfdd6e2c90819b2', 'invest_type_name': '独投', 'invest_type': '4'}]",41
4,会计学堂,https://img1.qimingpian.cn/uploadImg/202106/60b73b901efe5.png,教育培训,会计实务在线教育品牌,广东省,,战略融资,未披露,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=5409dfc40d5b5555a2fc2cd1f2ef64d0&id=076c4fde0ae63c355777207a5294ce57,"[{'investor': '正保远程教育', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=33618b1c2e96543aa40b00a58c9401c9&id=cc02d591433c3dfca993c72f9401864c', 'invest_type_name': '独投', 'invest_type': '4'}]",41
5,愿景明创,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202001/product5e1e7938b3580560682639.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625229918&Signature=O9Gl%2BAIfYChhH0z55ves3YL2n0o%3D,金融,资产管理服务商,广东省,,战略融资,7亿人民币,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=609c4f89acae51dfa48c2e4c2a6ef3e2&id=a04eec5ea060ca28e3d78ff5f48a8cd5,"[{'investor': '贝壳找房', 'detail': 'http://vip.qimingpian.com/#/detailcom?src=magic&ticket=0cc5205b38fe52d9b7c017598aedf77b&id=ae98dce4a9f00475cae534c256e763e5', 'invest_type_name': '独投', 'invest_type': '4'}]",39
6,万佳安,https://img1.qimingpian.cn/uploadImg/202106/60b72dd85370f.png,企业服务,物联网PaaS层解决方案提供商,广东省,,战略融资,3.376亿人民币,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=72fd13f251ca5c09a8573886d5e27fe1&id=d0c700663bcd5f0582beae940db7b596,"[{'investor': '前海母基金', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=ac2117bfac7052039ae69394d7d47f7d&id=8180e5312710c2fb6f65e8fe9017ef8c', 'invest_type_name': '领投', 'invest_type': '1'}]",56
7,云丹网络,https://img1.qimingpian.cn/uploadImg/202106/60b73ae347ccb.png,企业服务,低代码平台工具提供商,上海市,,Pre-A轮,千万级人民币,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=29d457104b435167bd638885f27561dd&id=6b0afdc84625be167349ae969044ae15,"[{'investor': '卓源资本', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=c374788fd4045403a2d1d7cc44033fc4&id=ab872d9d596760b21b413f8c187de330', 'invest_type_name': '领投', 'invest_type': '1'}, {'investor': '宁波工投', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=9a92d8f5cb3551f1ba6f5f3babb5e5d0&id=d406dce4cd039134a82131fa7fd5b45c', 'invest_type_name': '跟投', 'invest_type': '2'}]",68
8,小练就成,https://qmp.oss-cn-beijing.aliyuncs.com/uploadImg/202106/product60b71e7521218646644408.png?x-oss-process=style%2Fsmall&OSSAccessKeyId=LTAI2SRf7Sf1P5bU&Expires=1625229918&Signature=JMVlRYhrlqCLL9GPviC8Q3MsOmc%3D,教育培训,OMO音乐教育机构,陕西省,,天使轮,数百万人民币,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=921cfb44892d508b9d668a69cf33116a&id=ef43f563ab2d8dc6b55a692ce696b42b,"[{'investor': '个人投资者', 'detail': '', 'invest_type_name': '独投', 'invest_type': '4'}]",30
9,星记卡,https://img1.qimingpian.cn/uploadImg/202106/60b71f4d24735.png,企业服务,创新O2O消费补贴平台,辽宁省,,B轮,1200万美元,2021.06.02,http://vip.qimingpian.com/#/detailcom?src=magic&ticket=45a5b1eb0dee58baacc749f88de1a834&id=05849009c8ed8e0e2fcfc3c728cf140c,"[{'investor': 'AITV - AccelerateIT Ventures', 'detail': 'http://vip.qimingpian.com/#/detailorg?src=magic&ticket=5aa64593dd34517897bc38690340a986&id=00d7a7196d6df362c338341d0c08be6e', 'invest_type_name': '独投', 'invest_type': '4'}]",42
